desc,receiver_player_name,down,ydstogo,qtr,pass_location,pass_length,air_yards,yardline_100,side_of_field,complete_pass,yards_gained,touchdown,interception,passer_player_name
(2:25) (Shotgun) 10-B.Nix pass short right to 27-J.Dobbins to DEN 22 for no gain (23-T.Jefferson).,J.Dobbins,2.0,10,4,right,short,-6.0,78,DEN,1.0,0.0,0.0,0.0,B.Nix
(2:00) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton.,C.Sutton,3.0,10,4,left,deep,45.0,78,DEN,0.0,0.0,0.0,0.0,B.Nix
(8:23) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 38 for 5 yards (23-D.Hill).,M.Mims,2.0,7,1,right,short,5.0,67,DEN,1.0,5.0,0.0,0.0,B.Nix
(3:49) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,T.Franklin,2.0,7,1,right,deep,16.0,61,DEN,0.0,0.0,0.0,0.0,B.Nix
(3:43) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to CIN 49 for 12 yards (28-J.Newton).,C.Sutton,3.0,7,1,middle,short,3.0,61,DEN,1.0,12.0,0.0,0.0,B.Nix
(3:05) 10-B.Nix pass short right to 82-A.Trautman pushed ob at CIN 23 for 26 yards (44-D.Knight).,A.Trautman,1.0,10,1,right,short,6.0,49,CIN,1.0,26.0,0.0,0.0,B.Nix
(:27) (Shotgun) 10-B.Nix pass incomplete short right to 13-P.Bryant.,P.Bryant,2.0,5,1,right,short,6.0,6,CIN,0.0,0.0,0.0,0.0,B.Nix
(11:52) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at DEN 31 for 11 yards (22-G.Stone; 20-D.Turner).,M.Mims,1.0,10,2,left,short,-5.0,80,DEN,1.0,11.0,0.0,0.0,B.Nix
"(11:20) (No Huddle, Shotgun) 10-B.Nix pass incomplete short right to 82-A.Trautman.",A.Trautman,1.0,10,2,right,short,4.0,69,DEN,0.0,0.0,0.0,0.0,B.Nix
(11:15) (Shotgun) 10-B.Nix pass short left to 82-A.Trautman pushed ob at DEN 37 for 6 yards (29-C.Taylor-Britt).,A.Trautman,2.0,10,2,left,short,1.0,69,DEN,1.0,6.0,0.0,0.0,B.Nix
"(10:39) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton pushed ob at CIN 44 for 19 yards (22-G.Stone). Penalty on CIN-99-M.Murphy, Defensive Offside, declined.",C.Sutton,3.0,4,2,left,short,7.0,63,DEN,1.0,19.0,0.0,0.0,B.Nix
(10:08) (Shotgun) 10-B.Nix pass incomplete short left to 12-R.Harvey.,R.Harvey,1.0,10,2,left,short,14.0,44,CIN,0.0,0.0,0.0,0.0,B.Nix
(9:24) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to CIN 16 for 22 yards (44-D.Knight). CIN-44-D.Knight was injured during the play.,C.Sutton,3.0,4,2,left,short,4.0,38,CIN,1.0,22.0,0.0,0.0,B.Nix
"(8:11) (Shotgun) 10-B.Nix pass short right to 45-N.Adkins to DEN 28 for -2 yards (92-B.Hill). ** Injury Update: CIN-44-D.Knight has returned to the game. Penalty on DEN-60-L.Wattenberg, Ineligible Downfield Pass, declined.",N.Adkins,1.0,10,2,right,short,-4.0,70,DEN,1.0,-2.0,0.0,0.0,B.Nix
(5:03) (Shotgun) 10-B.Nix pass deep middle to 11-T.Franklin to CIN 24 for 23 yards (55-L.Wilson).,T.Franklin,2.0,17,2,middle,deep,19.0,47,CIN,1.0,23.0,0.0,0.0,B.Nix
"(4:06) (No Huddle, Shotgun) 10-B.Nix pass short left to 11-T.Franklin to CIN 11 for 6 yards (20-D.Turner, 22-G.Stone).",T.Franklin,2.0,3,2,left,short,-2.0,17,CIN,1.0,6.0,0.0,0.0,B.Nix
(3:26) 10-B.Nix pass incomplete short left to 1-E.Engram.,E.Engram,1.0,10,2,left,short,5.0,11,CIN,0.0,0.0,0.0,0.0,B.Nix
(3:20) (Shotgun) 10-B.Nix pass short right to 1-E.Engram pushed ob at CIN 2 for 9 yards (44-D.Knight; 27-J.Battle).,E.Engram,2.0,10,2,right,short,3.0,11,CIN,1.0,9.0,0.0,0.0,B.Nix
