Description,Throw Depth,Pass Location,Complete Pass
"(2:58) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT. PENALTY ON DEN-60-L.WATTENBERG, INELIGIBLE DOWNFIELD PASS, DECLINED.",Short,Right,0
(5:59) 10-B.NIX PASS SHORT RIGHT TO 20-M.BURTON PUSHED OB AT LV 32 FOR 8 YARDS (41-R.SPILLANE).,Short,Right,1
(2:16) 10-B.NIX PASS INCOMPLETE SHORT RIGHT.,Short,Right,0
(6:19) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 19-M.MIMS PUSHED OB AT LV 2 FOR 37 YARDS (20-I.POLA-MAO).,Short,Left,1
(12:13) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT LEFT TO 38-J.MCLAUGHLIN (7-T.MOEHRIG).,Short,Left,0
(14:12) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 17-D.VELE RAN OB AT LV 21 FOR 5 YARDS.,Short,Right,1
"(10:53) (SHOTGUN) 10-B.NIX PASS DEEP RIGHT TO 14-C.SUTTON FOR 18 YARDS, TOUCHDOWN.",Deep,Right,1
"(10:36) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 45-N.ADKINS FOR 12 YARDS, TOUCHDOWN.",Short,Left,1
"(10:56) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 17-D.VELE TO ATL 24 FOR 8 YARDS (22-C.PHILLIPS). PENALTY ON ATL-27-R.GRANT, UNNECESSARY ROUGHNESS, 12 YARDS, ENFORCED AT ATL 24.",Short,Left,1
(12:17) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 17-D.VELE TO ATL 34 FOR 14 YARDS (22-C.PHILLIPS).,Short,Middle,1
(7:03) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 14-C.SUTTON TO ATL 14 FOR 6 YARDS (55-K.ELLISS).,Short,Middle,1
(7:49) 10-B.NIX PASS SHORT LEFT TO 33-J.WILLIAMS TO ATL 20 FOR 15 YARDS (31-J.SIMMONS; 24-A.TERRELL).,Short,Left,1
"(9:12) 10-B.NIX PASS SHORT LEFT TO 84-L.HUMPHREY FOR 41 YARDS, TOUCHDOWN.",Short,Left,1
(13:54) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 84-L.HUMPHREY PUSHED OB AT ATL 27 FOR 1 YARD (15-M.JUDON).,Short,Right,1
(15:00) 10-B.NIX PASS SHORT LEFT TO 33-J.WILLIAMS TO ATL 26 FOR 4 YARDS (53-N.LANDMAN).,Short,Left,1
"(6:21) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 23-A.ESTIME TO ATL 43 FOR NO GAIN (53-N.LANDMAN).",Short,Left,1
"(7:40) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 23-A.ESTIME PUSHED OB AT ATL 33 FOR 10 YARDS (53-N.LANDMAN). PENALTY ON DEN-72-G.BOLLES, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT ATL 43 - NO PLAY.",Short,Left,1
"(9:09) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 16-T.FRANKLIN FOR 7 YARDS, TOUCHDOWN.",Short,Right,1
(9:51) 10-B.NIX PASS SHORT RIGHT TO 20-M.BURTON TO ATL 7 FOR -2 YARDS (55-K.ELLISS).,Short,Right,1
(10:33) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 17-D.VELE TO ATL 5 FOR 11 YARDS (31-J.SIMMONS).,Short,Left,1
