pass_length,pass_location,air_yards,play_type,desc,side_of_field,yardline_100,posteam,interception,pass_touchdown,qtr,receiver_player_name,complete_pass,week
short,right,-4.0,pass,"(8:11) (Shotgun) 10-B.Nix pass short right to 45-N.Adkins to DEN 28 for -2 yards (92-B.Hill). ** Injury Update: CIN-44-D.Knight has returned to the game. Penalty on DEN-60-L.Wattenberg, Ineligible Downfield Pass, declined.",DEN,70.0,DEN,0.0,0.0,2.0,N.Adkins,1.0,4
deep,middle,19.0,pass,(5:03) (Shotgun) 10-B.Nix pass deep middle to 11-T.Franklin to CIN 24 for 23 yards (55-L.Wilson).,CIN,47.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,4
short,left,-2.0,pass,"(4:06) (No Huddle, Shotgun) 10-B.Nix pass short left to 11-T.Franklin to CIN 11 for 6 yards (20-D.Turner, 22-G.Stone).",CIN,17.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,4
short,left,5.0,pass,(3:26) 10-B.Nix pass incomplete short left to 1-E.Engram.,CIN,11.0,DEN,0.0,0.0,2.0,E.Engram,0.0,4
short,right,3.0,pass,(3:20) (Shotgun) 10-B.Nix pass short right to 1-E.Engram pushed ob at CIN 2 for 9 yards (44-D.Knight; 27-J.Battle).,CIN,11.0,DEN,0.0,0.0,2.0,E.Engram,1.0,4
short,right,2.0,pass,"(2:04) 10-B.Nix pass short right intended for 11-T.Franklin INTERCEPTED by 44-D.Knight at CIN -5. Touchback. The Replay Official reviewed the interception ruling, and the play was Upheld. The ruling on the field stands.",CIN,2.0,DEN,1.0,0.0,2.0,T.Franklin,0.0,4
short,middle,2.0,pass,(1:09) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram to DEN 22 for 2 yards (28-J.Newton).,DEN,80.0,DEN,0.0,0.0,2.0,E.Engram,1.0,4
short,right,11.0,pass,"(:49) (No Huddle, Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 33 for 11 yards (20-D.Turner). Penalty on CIN-44-D.Knight, Defensive Holding, declined.",DEN,78.0,DEN,0.0,0.0,2.0,T.Franklin,1.0,4
short,left,2.0,pass,(:42) (Shotgun) 10-B.Nix pass incomplete short left to 1-E.Engram.,DEN,67.0,DEN,0.0,0.0,2.0,E.Engram,0.0,4
deep,right,27.0,pass,(:38) (Shotgun) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,DEN,67.0,DEN,0.0,0.0,2.0,T.Franklin,0.0,4
deep,left,26.0,pass,(:33) (Shotgun) 10-B.Nix pass deep left to 19-M.Mims to CIN 39 for 28 yards (22-G.Stone).,DEN,67.0,DEN,0.0,0.0,2.0,M.Mims,1.0,4
short,right,4.0,pass,(:26) (Shotgun) 10-B.Nix pass short right to 28-T.Badie pushed ob at CIN 28 for 11 yards (23-D.Hill) [96-C.Sample].,CIN,39.0,DEN,0.0,0.0,2.0,T.Badie,1.0,4
short,middle,4.0,pass,(:21) (Shotgun) 10-B.Nix pass incomplete short middle to 28-T.Badie.,CIN,28.0,DEN,0.0,0.0,2.0,T.Badie,0.0,4
short,left,5.0,pass,"(:17) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to CIN 20 for 8 yards (44-D.Knight). Penalty on CIN-58-J.Ossai, Defensive Offside, declined.",CIN,28.0,DEN,0.0,0.0,2.0,C.Sutton,1.0,4
deep,right,20.0,pass,"(:13) (Shotgun) 10-B.Nix pass deep right to 14-C.Sutton for 20 yards, TOUCHDOWN.",CIN,20.0,DEN,0.0,1.0,2.0,C.Sutton,1.0,4
short,left,-5.0,pass,(14:54) (Shotgun) 10-B.Nix pass short left to 19-M.Mims to DEN 38 for 8 yards (23-D.Hill).,DEN,70.0,DEN,0.0,0.0,3.0,M.Mims,1.0,4
short,right,-1.0,pass,(13:36) (Shotgun) 10-B.Nix pass incomplete short right to 45-N.Adkins (23-D.Hill).,DEN,57.0,DEN,0.0,0.0,3.0,N.Adkins,0.0,4
